Data point	Velocity (surface)	Altitude (sea level)	Total vehicle mass
0	0.00405118	99.66514	85.68658
1	5.604514	100.9883	85.3708
2	11.95431	105.6177	85.0287
3	18.10632	113.1924	84.69976
4	24.29179	123.8529	84.37082
5	30.48502	137.6059	84.04188
6	36.9507	155.1983	83.69978
7	43.20832	175.2964	83.37084
8	49.50659	198.5393	83.0419
9	55.82518	224.9269	82.71296
10	62.18732	254.4949	82.38402
11	68.81132	288.6162	82.04192
12	75.2084	324.6703	81.71298
13	81.66207	363.9611	81.38404
14	88.12314	406.4704	81.0551
15	94.61143	452.2152	80.72616
16	101.0872	501.1986	80.39722
17	107.5484	553.4069	80.06828
18	114.0925	608.8951	79.73933
19	120.6823	667.6491	79.41039
20	127.5567	732.2601	79.0683
21	134.1059	797.7332	78.73936
22	140.6475	866.4677	78.41042
23	147.3119	938.5411	78.08147
24	154.0231	1013.936	77.75253
25	161.0238	1095.918	77.41044
26	167.7053	1178.162	77.0815
27	174.4445	1263.758	76.75256
28	181.3297	1352.775	76.42361
29	188.0957	1445.178	76.09467
30	195.0639	1544.877	75.75257
31	201.6801	1644.114	75.42364
32	208.3051	1746.633	75.0947
33	215.0111	1852.536	74.76575
34	221.616	1961.734	74.43681
35	228.2545	2074.204	74.10787
36	235.2502	2194.72	73.76577
37	241.9415	2314.003	73.43683
38	248.78	2441.475	73.09473
39	255.2816	2567.323	72.76579
40	261.8727	2696.456	72.43685
41	268.5303	2828.76	72.10791
42	275.5236	2969.786	71.76582
43	282.548	3114.395	71.42371
44	289.2288	3256.733	71.09477
45	295.9257	3402.215	70.76583
46	302.6485	3550.95	70.43689
47	309.4864	3709.022	70.0948
48	315.912	3864.037	69.76585
49	322.3492	4022.057	69.43691
50	329.2413	4189.725	69.09482
51	335.847	4354.005	68.76588
52	342.4297	4521.272	68.43694
53	349.1677	4691.677	68.10799
54	356.2428	4872.149	67.76589
55	363.1201	5048.727	67.43695
56	369.9679	5228.447	67.10801
57	376.8819	5411.314	66.77907
58	383.8733	5597.104	66.45013
59	391.239	5793.621	66.10803
60	398.5593	5985.91	65.77909
61	406.1537	6189.176	65.437
62	413.4845	6387.763	65.10806
63	421.0576	6589.649	64.77911
64	429.0189	6803.062	64.43701
65	436.8094	7011.462	64.10807
66	444.9468	7231.721	63.76598
67	452.9438	7446.988	63.43703
68	461.4334	7674.288	63.09494
69	469.7033	7896.209	62.766
70	478.264	8121.711	62.43705
71	486.8553	8350.665	62.10811
72	495.5772	8582.965	61.77917
73	504.5887	8818.905	61.45023
74	514.0682	9068.171	61.10814
75	523.2522	9311.363	60.77919
76	532.6069	9558.176	60.45025
77	542.2611	9808.824	60.12131
78	551.9002	10063.07	59.79237
79	562.1268	10331.35	59.45027
80	572.1832	10593.29	59.12133
81	582.7098	10869.72	58.77924
82	592.9039	11139.19	58.45029
83	603.3116	11412.55	58.12135
84	614.2702	11701	57.77925
85	624.8473	11982.12	57.45031
86	635.6103	12267.03	57.12137
87	646.5599	12555.96	56.79243
88	658.0043	12860.49	56.45033
89	669.1218	13157.08	56.12139
90	680.5244	13457.71	55.79245
91	691.9846	13762.32	55.46351
92	704.0502	14083.07	55.12141
93	715.9081	14395.55	54.79247
94	727.9063	14712.16	54.46353
95	739.9806	15032.59	54.13459
96	752.2458	15356.93	53.80565
97	765.3006	15698.68	53.46355
98	777.8915	16031.39	53.13461
99	790.6642	16367.93	52.80567
100	804.2469	16722.4	52.46357
101	817.4088	17067.52	52.13463
102	830.7089	17416.52	51.80569
103	844.2961	17769.68	51.47675
104	858.0621	18127.17	51.14781
105	871.8916	18488.68	50.81887
106	885.9611	18854.24	50.48993
107	900.8961	19239.09	50.14783
108	915.3019	19613.42	49.81889
109	929.91	19991.72	49.48995
110	944.8356	20374.43	49.16101
111	960.4174	20777.03	48.81891
112	975.5319	21168.26	48.48997
113	991.0068	21563.75	48.16103
114	1006.624	21963.71	47.83209
115	1022.29	22367.79	47.50315
116	1038.896	22792.43	47.16105
117	1055.187	23205.31	46.83211
118	1071.444	23622.47	46.50317
119	1088.578	24060.61	46.16107
120	1105.467	24486.39	45.83213
121	1122.393	24916.62	45.50319
122	1140.156	25368.4	45.16109
123	1157.539	25807.1	44.83215
124	1167.769	26267.49	22.68777
125	1172.677	26710.52	22.62198
126	1177.472	27154.16	22.55619
127	1182.601	27615.84	22.48777
128	1187.585	28060.13	22.42198
129	1192.625	28504.78	22.3562
130	1197.732	28949.8	22.29041
131	1203.115	29413.05	22.22199
132	1208.359	29858.89	22.1562
133	1213.635	30305.16	22.09041
134	1219.174	30769.71	22.02199
135	1224.537	31216.81	21.95621
136	1229.923	31664.3	21.89042
137	1235.364	32112.17	21.82463
138	1240.827	32560.4	21.75884
139	1246.344	33008.96	21.69305
140	1252.091	33475.83	21.62463
141	1257.68	33925.06	21.55884
142	1263.283	34374.58	21.49306
143	1268.931	34824.39	21.42727
144	1274.841	35292.46	21.35885
145	1280.559	35742.78	21.29306
146	1286.301	36193.33	21.22727
147	1292.316	36662.12	21.15885
148	1298.144	37113.09	21.09306
149	1303.979	37564.2	21.02728
150	1310.113	38033.55	20.95886
151	1312.798	38484.82	20.91675
152	1310.675	38934.87	20.91017
153	1308.574	39383.36	20.90359
154	1306.399	39848.17	20.89675
155	1304.317	40293.55	20.89017
156	1302.163	40755.11	20.88333
157	1300.102	41197.38	20.87675
158	1297.969	41655.72	20.86991
159	1295.928	42094.88	20.86333
160	1293.896	42532.52	20.85675
161	1291.874	42968.64	20.85017
162	1289.779	43420.61	20.84333
163	1287.775	43853.64	20.83675
164	1285.78	44285.16	20.83018
165	1283.793	44715.16	20.8236
166	1281.736	45160.76	20.81675
167	1279.767	45587.68	20.81017
168	1277.807	46013.08	20.8036
169	1275.854	46436.97	20.79702
170	1273.91	46859.36	20.79044
171	1271.974	47280.23	20.78386
172	1270.045	47699.59	20.77728
173	1268.048	48134.13	20.77044
174	1266.137	48550.41	20.76386
175	1264.233	48965.18	20.75728
176	1262.337	49378.44	20.7507
177	1260.448	49790.19	20.74412
178	1258.568	50200.43	20.73755
179	1256.695	50609.17	20.73097
180	1254.756	51032.65	20.72412
181	1252.9	51438.3	20.71754
182	1251.05	51842.45	20.71097
183	1249.208	52245.09	20.70439
184	1247.302	52662.22	20.69755
185	1245.475	53061.78	20.69097
186	1243.584	53475.71	20.68413
187	1241.775	53872.19	20.67755
188	1239.972	54267.15	20.67097
189	1238.177	54660.61	20.66439
190	1236.39	55052.55	20.65781
191	1234.609	55442.98	20.65123
192	1232.767	55847.43	20.64439
193	1231.002	56234.77	20.63781
194	1229.245	56620.61	20.63123
195	1227.497	57004.93	20.62465
196	1225.754	57387.75	20.61807
197	1224.02	57769.05	20.61149
198	1222.225	58163.99	20.60465
199	1220.505	58542.2	20.59807
200	1218.794	58918.89	20.5915
201	1217.091	59294.08	20.58492
202	1215.326	59682.66	20.57808
203	1213.637	60054.75	20.5715
204	1211.953	60425.32	20.56492
205	1210.276	60794.4	20.55834
206	1208.614	61161.97	20.55176
207	1206.896	61542.63	20.54492
208	1205.256	61907.12	20.53834
209	1203.562	62284.58	20.5315
210	1201.944	62646	20.52492
211	1200.337	63005.9	20.51834
212	1198.742	63364.31	20.51176
213	1197.093	63735.46	20.50492
214	1195.52	64090.82	20.49834
215	1193.957	64444.67	20.49176
216	1192.405	64797.04	20.48518
217	1190.453	65161.92	20.48123
218	1188.125	65511.25	20.48123
219	1185.804	65859.08	20.48123
220	1183.492	66205.42	20.48123
221	1181.188	66550.27	20.48123
222	1178.8	66907.34	20.48123
223	1176.512	67249.16	20.48123
224	1174.232	67589.49	20.48123
225	1171.96	67928.34	20.48123
226	1169.696	68265.71	20.48123
227	1167.44	68601.59	20.48123
228	1165.192	68936	20.48123
229	1162.862	69282.21	20.48123
230	1160.63	69613.6	20.48123
231	1158.406	69943.52	20.48123
232	1156.19	70271.98	20.48123
233	1153.982	70598.98	20.48123
234	1151.782	70924.5	20.48123
235	1149.502	71261.48	20.48123
236	1147.318	71584.01	20.48123
237	1145.142	71905.07	20.48123
238	1142.974	72224.65	20.48123
